pargpnme,inctyp,derinc,derinclb,forcen,derincmul,dermthd,splitthresh,splitreldiff,splitaction
npfklayer1gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfk33layer2gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
nelayer2gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_1gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
nelayer1gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
stosylayer1gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
stosslayer3gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
stosslayer2gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfk33layer3gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
nelayer3gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer3gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfk33layer1gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer2gr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
welgrd,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
welcst,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfk33layer1pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
nelayer2pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
nelayer1pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer2pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_1pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
stosylayer1pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
stosslayer3pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer1pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
stosslayer2pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer3pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
nelayer3pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfk33layer3pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfk33layer2pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
sfrcondgr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
ghbcondgr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
ghbheadgr,absolute,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_490tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_491tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_489tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_485tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_488tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_487tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_486tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_484tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_483tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_492tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_499tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_493tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_494tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_495tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_496tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_497tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_498tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_481tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_500tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_501tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_502tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_482tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_467tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_480tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_479tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_460tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_461tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_462tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_463tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_464tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_465tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_466tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_504tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_468tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_469tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_470tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_471tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_472tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_473tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_474tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_475tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_476tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_477tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_478tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_503tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_519tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_505tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_528tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_530tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_531tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_532tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_533tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_534tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_535tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_536tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_537tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_538tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_539tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_540tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_541tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_542tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_543tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_544tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_545tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_546tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_547tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_548tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_529tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_527tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_506tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_526tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_507tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_508tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_509tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_510tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_511tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_512tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_513tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_514tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_515tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_516tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_517tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_518tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_458tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_520tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_521tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_522tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_523tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_524tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_525tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_459tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_442tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_457tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_399tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_390tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_391tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_392tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_393tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_394tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_395tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_396tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_397tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_398tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_400tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_456tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_401tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_402tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_403tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_404tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_405tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_406tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_407tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_408tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_409tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_389tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_388tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_387tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_386tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_367tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_368tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_369tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_370tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_371tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_372tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_373tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_374tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_375tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_376tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_377tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_378tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_379tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_380tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_381tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_382tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_383tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_384tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_385tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_410tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_411tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_412tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_435tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_437tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_438tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_439tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_440tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_441tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_550tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_443tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_444tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_445tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_446tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_447tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_448tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_449tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_450tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_451tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_452tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_453tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_454tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_455tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_436tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_434tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_413tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_433tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_414tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_415tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_416tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_417tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_418tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_419tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_420tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_421tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_422tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_423tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_424tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_425tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_426tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_427tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_428tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_429tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_430tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_431tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_432tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_549tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_565tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_551tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_678tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_669tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_670tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_671tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_672tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_673tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_674tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_675tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_676tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_677tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_679tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_644tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_680tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_681tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_682tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_683tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_684tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_685tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_686tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_687tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_688tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_668tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_667tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_666tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_665tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_646tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_647tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_648tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_649tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_650tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_651tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_652tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_653tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_654tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_655tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_656tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_657tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_658tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_659tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_660tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_661tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rch_recharge_662tcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
