,parnme,pargp,covgp,x,y,tpl_filename,input_filename,parval1,datetime,timedelta,partype,partrans,parubnd,parlbnd,offset,dercom,scale,parchglim,zone
pname:wel_gr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:11_idx2:13,pname:wel_gr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:11_idx2:13,wel_gr,wel_gr,1,0,freyberg6_template\wel_gr_inst0_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst0_grid.csv,1.0,2018-01-02,1 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:20_idx2:14,pname:wel_gr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:20_idx2:14,wel_gr,wel_gr,1,0,freyberg6_template\wel_gr_inst0_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst0_grid.csv,1.0,2018-01-02,1 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:26_idx2:10,pname:wel_gr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:26_idx2:10,wel_gr,wel_gr,1,0,freyberg6_template\wel_gr_inst0_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst0_grid.csv,1.0,2018-01-02,1 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:29_idx2:6,pname:wel_gr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:29_idx2:6,wel_gr,wel_gr,1,0,freyberg6_template\wel_gr_inst0_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst0_grid.csv,1.0,2018-01-02,1 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:34_idx2:12,pname:wel_gr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:34_idx2:12,wel_gr,wel_gr,1,0,freyberg6_template\wel_gr_inst0_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst0_grid.csv,1.0,2018-01-02,1 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:9_idx2:16,pname:wel_gr_inst:0_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:9_idx2:16,wel_gr,wel_gr,1,0,freyberg6_template\wel_gr_inst0_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst0_grid.csv,1.0,2018-01-02,1 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:10_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:11_idx2:13,pname:wel_gr_inst:10_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:11_idx2:13,wel_gr,wel_gr,548,0,freyberg6_template\wel_gr_inst10_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst10_grid.csv,1.0,2019-07-03,548 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:10_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:20_idx2:14,pname:wel_gr_inst:10_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:20_idx2:14,wel_gr,wel_gr,548,0,freyberg6_template\wel_gr_inst10_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst10_grid.csv,1.0,2019-07-03,548 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:10_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:26_idx2:10,pname:wel_gr_inst:10_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:26_idx2:10,wel_gr,wel_gr,548,0,freyberg6_template\wel_gr_inst10_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst10_grid.csv,1.0,2019-07-03,548 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:10_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:29_idx2:6,pname:wel_gr_inst:10_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:29_idx2:6,wel_gr,wel_gr,548,0,freyberg6_template\wel_gr_inst10_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst10_grid.csv,1.0,2019-07-03,548 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:10_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:34_idx2:12,pname:wel_gr_inst:10_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:34_idx2:12,wel_gr,wel_gr,548,0,freyberg6_template\wel_gr_inst10_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst10_grid.csv,1.0,2019-07-03,548 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:10_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:9_idx2:16,pname:wel_gr_inst:10_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:9_idx2:16,wel_gr,wel_gr,548,0,freyberg6_template\wel_gr_inst10_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst10_grid.csv,1.0,2019-07-03,548 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:11_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:11_idx2:13,pname:wel_gr_inst:11_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:11_idx2:13,wel_gr,wel_gr,32,0,freyberg6_template\wel_gr_inst11_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst11_grid.csv,1.0,2018-02-02,32 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:11_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:20_idx2:14,pname:wel_gr_inst:11_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:20_idx2:14,wel_gr,wel_gr,32,0,freyberg6_template\wel_gr_inst11_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst11_grid.csv,1.0,2018-02-02,32 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:11_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:26_idx2:10,pname:wel_gr_inst:11_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:26_idx2:10,wel_gr,wel_gr,32,0,freyberg6_template\wel_gr_inst11_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst11_grid.csv,1.0,2018-02-02,32 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:11_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:29_idx2:6,pname:wel_gr_inst:11_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:29_idx2:6,wel_gr,wel_gr,32,0,freyberg6_template\wel_gr_inst11_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst11_grid.csv,1.0,2018-02-02,32 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:11_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:34_idx2:12,pname:wel_gr_inst:11_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:34_idx2:12,wel_gr,wel_gr,32,0,freyberg6_template\wel_gr_inst11_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst11_grid.csv,1.0,2018-02-02,32 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:11_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:9_idx2:16,pname:wel_gr_inst:11_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:9_idx2:16,wel_gr,wel_gr,32,0,freyberg6_template\wel_gr_inst11_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst11_grid.csv,1.0,2018-02-02,32 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:12_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:11_idx2:13,pname:wel_gr_inst:12_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:11_idx2:13,wel_gr,wel_gr,579,0,freyberg6_template\wel_gr_inst12_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst12_grid.csv,1.0,2019-08-03,579 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:12_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:20_idx2:14,pname:wel_gr_inst:12_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:20_idx2:14,wel_gr,wel_gr,579,0,freyberg6_template\wel_gr_inst12_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst12_grid.csv,1.0,2019-08-03,579 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:12_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:26_idx2:10,pname:wel_gr_inst:12_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:26_idx2:10,wel_gr,wel_gr,579,0,freyberg6_template\wel_gr_inst12_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst12_grid.csv,1.0,2019-08-03,579 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:12_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:29_idx2:6,pname:wel_gr_inst:12_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:29_idx2:6,wel_gr,wel_gr,579,0,freyberg6_template\wel_gr_inst12_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst12_grid.csv,1.0,2019-08-03,579 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:12_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:34_idx2:12,pname:wel_gr_inst:12_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:34_idx2:12,wel_gr,wel_gr,579,0,freyberg6_template\wel_gr_inst12_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst12_grid.csv,1.0,2019-08-03,579 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:12_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:9_idx2:16,pname:wel_gr_inst:12_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:9_idx2:16,wel_gr,wel_gr,579,0,freyberg6_template\wel_gr_inst12_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst12_grid.csv,1.0,2019-08-03,579 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:13_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:11_idx2:13,pname:wel_gr_inst:13_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:11_idx2:13,wel_gr,wel_gr,610,0,freyberg6_template\wel_gr_inst13_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst13_grid.csv,1.0,2019-09-03,610 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:13_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:20_idx2:14,pname:wel_gr_inst:13_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:20_idx2:14,wel_gr,wel_gr,610,0,freyberg6_template\wel_gr_inst13_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst13_grid.csv,1.0,2019-09-03,610 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:13_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:26_idx2:10,pname:wel_gr_inst:13_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:26_idx2:10,wel_gr,wel_gr,610,0,freyberg6_template\wel_gr_inst13_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst13_grid.csv,1.0,2019-09-03,610 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:13_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:29_idx2:6,pname:wel_gr_inst:13_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:29_idx2:6,wel_gr,wel_gr,610,0,freyberg6_template\wel_gr_inst13_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst13_grid.csv,1.0,2019-09-03,610 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:13_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:34_idx2:12,pname:wel_gr_inst:13_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:34_idx2:12,wel_gr,wel_gr,610,0,freyberg6_template\wel_gr_inst13_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst13_grid.csv,1.0,2019-09-03,610 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:13_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:9_idx2:16,pname:wel_gr_inst:13_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:9_idx2:16,wel_gr,wel_gr,610,0,freyberg6_template\wel_gr_inst13_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst13_grid.csv,1.0,2019-09-03,610 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:14_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:11_idx2:13,pname:wel_gr_inst:14_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:11_idx2:13,wel_gr,wel_gr,640,0,freyberg6_template\wel_gr_inst14_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst14_grid.csv,1.0,2019-10-03,640 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:14_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:20_idx2:14,pname:wel_gr_inst:14_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:20_idx2:14,wel_gr,wel_gr,640,0,freyberg6_template\wel_gr_inst14_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst14_grid.csv,1.0,2019-10-03,640 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:14_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:26_idx2:10,pname:wel_gr_inst:14_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:26_idx2:10,wel_gr,wel_gr,640,0,freyberg6_template\wel_gr_inst14_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst14_grid.csv,1.0,2019-10-03,640 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:14_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:29_idx2:6,pname:wel_gr_inst:14_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:29_idx2:6,wel_gr,wel_gr,640,0,freyberg6_template\wel_gr_inst14_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst14_grid.csv,1.0,2019-10-03,640 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:14_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:34_idx2:12,pname:wel_gr_inst:14_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:34_idx2:12,wel_gr,wel_gr,640,0,freyberg6_template\wel_gr_inst14_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst14_grid.csv,1.0,2019-10-03,640 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:14_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:9_idx2:16,pname:wel_gr_inst:14_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:9_idx2:16,wel_gr,wel_gr,640,0,freyberg6_template\wel_gr_inst14_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst14_grid.csv,1.0,2019-10-03,640 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:15_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:11_idx2:13,pname:wel_gr_inst:15_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:11_idx2:13,wel_gr,wel_gr,671,0,freyberg6_template\wel_gr_inst15_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst15_grid.csv,1.0,2019-11-03,671 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:15_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:20_idx2:14,pname:wel_gr_inst:15_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:20_idx2:14,wel_gr,wel_gr,671,0,freyberg6_template\wel_gr_inst15_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst15_grid.csv,1.0,2019-11-03,671 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:15_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:26_idx2:10,pname:wel_gr_inst:15_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:26_idx2:10,wel_gr,wel_gr,671,0,freyberg6_template\wel_gr_inst15_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst15_grid.csv,1.0,2019-11-03,671 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:15_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:29_idx2:6,pname:wel_gr_inst:15_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:29_idx2:6,wel_gr,wel_gr,671,0,freyberg6_template\wel_gr_inst15_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst15_grid.csv,1.0,2019-11-03,671 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:15_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:34_idx2:12,pname:wel_gr_inst:15_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:34_idx2:12,wel_gr,wel_gr,671,0,freyberg6_template\wel_gr_inst15_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst15_grid.csv,1.0,2019-11-03,671 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:15_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:9_idx2:16,pname:wel_gr_inst:15_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:9_idx2:16,wel_gr,wel_gr,671,0,freyberg6_template\wel_gr_inst15_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst15_grid.csv,1.0,2019-11-03,671 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:16_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:11_idx2:13,pname:wel_gr_inst:16_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:11_idx2:13,wel_gr,wel_gr,701,0,freyberg6_template\wel_gr_inst16_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst16_grid.csv,1.0,2019-12-03,701 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:16_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:20_idx2:14,pname:wel_gr_inst:16_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:20_idx2:14,wel_gr,wel_gr,701,0,freyberg6_template\wel_gr_inst16_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst16_grid.csv,1.0,2019-12-03,701 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:16_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:26_idx2:10,pname:wel_gr_inst:16_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:26_idx2:10,wel_gr,wel_gr,701,0,freyberg6_template\wel_gr_inst16_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst16_grid.csv,1.0,2019-12-03,701 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:16_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:29_idx2:6,pname:wel_gr_inst:16_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:29_idx2:6,wel_gr,wel_gr,701,0,freyberg6_template\wel_gr_inst16_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst16_grid.csv,1.0,2019-12-03,701 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:16_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:34_idx2:12,pname:wel_gr_inst:16_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:34_idx2:12,wel_gr,wel_gr,701,0,freyberg6_template\wel_gr_inst16_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst16_grid.csv,1.0,2019-12-03,701 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:16_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:9_idx2:16,pname:wel_gr_inst:16_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:9_idx2:16,wel_gr,wel_gr,701,0,freyberg6_template\wel_gr_inst16_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst16_grid.csv,1.0,2019-12-03,701 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
pname:wel_gr_inst:17_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:11_idx2:13,pname:wel_gr_inst:17_ptype:gr_usecol:3_pstyle:m_idx0:2_idx1:11_idx2:13,wel_gr,wel_gr,732,0,freyberg6_template\wel_gr_inst17_grid.csv.tpl,freyberg6_template\mult\wel_gr_inst17_grid.csv,1.0,2020-01-03,732 days,grid,log,1.5,0.5,0.0,1,1.0,factor,1
